dimension,value,layer_id,threshold,feature_metric,pair_count,pixel_changed_ratio,feature_changed_ratio,correlation
app,unknown,final,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.03148986020137498, ""median"": 0.023872679045092837, ""p90"": 0.07771883289124668, ""min"": 0.001326259946949602, ""max"": 0.1253315649867374, ""std"": 0.027724365628335725}",0.6875816664827653
app,unknown,final,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.020530571645103666, ""median"": 0.014588859416445624, ""p90"": 0.05125994694960211, ""min"": 0.000663129973474801, ""max"": 0.08156498673740054, ""std"": 0.01923071865732802}",0.6666158531812295
app,unknown,final,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.007495432523141883, ""median"": 0.00455309776430466, ""p90"": 0.01996021220159151, ""min"": 0.0, ""max"": 0.04177718832891247, ""std"": 0.008265005778918567}",0.5545453156374939
app,unknown,final,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0033003572781897905, ""median"": 0.001326259946949602, ""p90"": 0.00868700265251989, ""min"": 0.0, ""max"": 0.022546419098143235, ""std"": 0.00407088675638553}",0.47489026069868995
app,unknown,final,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0005636604774535809, ""median"": 0.0, ""p90"": 0.0013925729442970784, ""min"": 0.0, ""max"": 0.003978779840848806, ""std"": 0.000896452641551444}",0.4051310429114518
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013925729442970823, ""median"": 0.013925729442970823, ""p90"": 0.013925729442970823, ""min"": 0.013925729442970823, ""max"": 0.013925729442970823, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.010610079575596816, ""median"": 0.010610079575596816, ""p90"": 0.010610079575596816, ""min"": 0.010610079575596816, ""max"": 0.010610079575596816, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04111405835543767, ""median"": 0.04111405835543767, ""p90"": 0.04111405835543767, ""min"": 0.04111405835543767, ""max"": 0.04111405835543767, ""std"": 0.0}",
