pair_id,layer_id,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,visual_token_count,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000001,final,60,4,,near,0.0078125,cosine_distance,0.005,0.013925729442970823,1508,0.9921875,0.0014713406562805176,0.00041852952002843644,
pair_000002,final,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.06763925729442971,1508,0.859375,0.008862491018079184,0.0007162997549064315,
pair_000003,final,341,3,,patch_candidate,0.140625,cosine_distance,0.005,0.07758620689655173,1508,0.859375,0.00915754546085602,0.0008845776433688928,
pair_000004,final,542,3,,patch_candidate,0.0625,cosine_distance,0.005,0.012599469496021221,1508,0.9375,0.0024864113047009424,0.00020337335011932288,
pair_000005,final,622,3,,patch_candidate,0.0546875,cosine_distance,0.005,0.01790450928381963,1508,0.9453125,0.0002786161063553451,0.00036757130626195966,
pair_000006,final,622,7,,patch_candidate,0.109375,cosine_distance,0.005,0.03050397877984085,1508,0.890625,0.002418605780059641,0.0008277982115387558,
pair_000007,final,622,10,,patch_candidate,0.09375,cosine_distance,0.005,0.04509283819628647,1508,0.90625,0.0028295759643827165,0.0012626442295766017,
pair_000008,final,883,5,,patch_candidate,0.1171875,cosine_distance,0.005,0.033156498673740056,1508,0.8828125,0.0026602962134796896,0.0005921070944146982,
pair_000009,final,1003,3,,patch_candidate,0.078125,cosine_distance,0.005,0.023872679045092837,1508,0.921875,0.004544055762411165,0.0004653049682523811,
pair_000010,final,1144,7,,near,0.0234375,cosine_distance,0.005,0.013925729442970823,1508,0.9765625,0.0004417768546513149,0.00034221716829248376,
pair_000011,final,1164,8,,near,0.0078125,cosine_distance,0.005,0.005305039787798408,1508,0.9921875,0.00012465885707310269,0.00011477650681151937,
pair_000012,final,1164,9,,near,0.03125,cosine_distance,0.005,0.010610079575596816,1508,0.96875,0.0002811246729911642,0.0002148279500774616,
pair_000013,final,1324,6,,near,0.0390625,cosine_distance,0.005,0.017241379310344827,1508,0.9609375,0.001999173845563616,0.0003841745681841133,
pair_000014,final,1404,7,,near,0.015625,cosine_distance,0.005,0.012599469496021221,1508,0.984375,0.0024870861144292923,0.0004445190949173846,
pair_000015,final,1444,6,,near,0.046875,cosine_distance,0.005,0.05238726790450928,1508,0.953125,0.005102302346910749,0.0016453907370401523,
pair_000016,final,1564,0,,patch_candidate,0.078125,cosine_distance,0.005,0.023872679045092837,1508,0.921875,0.0028975155042565387,0.0007583049245644027,
pair_000017,final,1904,3,,near,0.015625,cosine_distance,0.005,0.013262599469496022,1508,0.984375,0.004195682207743327,0.00037857660573357635,
pair_000018,final,1924,2,,near,0.0390625,cosine_distance,0.005,0.011273209549071617,1508,0.9609375,6.650502865131085e-06,0.00028474882736310856,
pair_000019,final,2224,3,,patch_candidate,0.0625,cosine_distance,0.005,0.02453580901856764,1508,0.9375,0.000724030475990445,0.0005421874194192683,
pair_000020,final,2224,4,,near,0.046875,cosine_distance,0.005,0.019230769230769232,1508,0.953125,0.00044652194152643653,0.0004827655439370148,
pair_000021,final,2224,5,,near,0.0390625,cosine_distance,0.005,0.007294429708222812,1508,0.9609375,0.00032294686160870453,0.00015588715868969082,
pair_000022,final,2264,5,,patch_candidate,0.125,cosine_distance,0.005,0.10477453580901856,1508,0.875,0.0034065652977336536,0.0033347720863254925,
pair_000023,final,2264,8,,patch_candidate,0.078125,cosine_distance,0.005,0.03249336870026525,1508,0.921875,0.0011644683918862972,0.0007273570957265465,
pair_000024,final,2264,9,,patch_candidate,0.09375,cosine_distance,0.005,0.03183023872679045,1508,0.90625,0.0014959645993781812,0.0007369857454715773,
pair_000025,final,2264,11,,patch_candidate,0.0625,cosine_distance,0.005,0.04111405835543767,1508,0.9375,0.0016964564045656074,0.0011222653117468348,
pair_000026,final,2264,13,,patch_candidate,0.0859375,cosine_distance,0.005,0.042440318302387266,1508,0.9140625,0.002157210350036621,0.001130996755474474,
pair_000027,final,2264,14,,patch_candidate,0.09375,cosine_distance,0.005,0.03978779840848806,1508,0.90625,0.0011274182066625478,0.0011491466759759482,
