pair_id,layer_id,feature_boundary,visual_token_grid,alignment_method,token_manhattan_distance,token_count,cosine_distance,relative_l2_distance
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,0,4,"{""count"": 4, ""mean"": 0.005092337727546692, ""median"": 0.005215972661972046, ""p90"": 0.008956307172775268, ""min"": 0.000708460807800293, ""max"": 0.009228944778442383, ""std"": 0.0037293543037451153}","{""count"": 4, ""mean"": 0.1261813659220934, ""median"": 0.12927872315049171, ""p90"": 0.1655592441558838, ""min"": 0.07386116683483124, ""max"": 0.1723068505525589, ""std"": 0.03784050116729976}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,1,9,"{""count"": 9, ""mean"": 0.02908084127638075, ""median"": 0.0019475817680358887, ""p90"": 0.06308977603912358, ""min"": 0.00016820430755615234, ""max"": 0.23042261600494385, ""std"": 0.07145949201273294}","{""count"": 9, ""mean"": 0.20163645574616063, ""median"": 0.06799034029245377, ""p90"": 0.47023632526397713, ""min"": 0.023821765556931496, ""max"": 0.8479582071304321, ""std"": 0.2539086142427248}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,2,11,"{""count"": 11, ""mean"": 0.02077250589023937, ""median"": 0.0003876686096191406, ""p90"": 0.030202865600585938, ""min"": 3.8564205169677734e-05, ""max"": 0.17732733488082886, ""std"": 0.050395810676642706}","{""count"": 11, ""mean"": 0.13408664732494138, ""median"": 0.04997235909104347, ""p90"": 0.3886263072490692, ""min"": 0.014179792255163193, ""max"": 0.5898185968399048, ""std"": 0.18405026618272105}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,3,9,"{""count"": 9, ""mean"": 0.0016952157020568848, ""median"": 0.0006490945816040039, ""p90"": 0.0047143220901489265, ""min"": 5.179643630981445e-05, ""max"": 0.007648110389709473, ""std"": 0.0024183800395153705}","{""count"": 9, ""mean"": 0.08402831924872266, ""median"": 0.0603344701230526, ""p90"": 0.18634119927883147, ""min"": 0.015340213663876057, ""max"": 0.1874357908964157, ""std"": 0.06779283187266696}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,4,10,"{""count"": 10, ""mean"": 0.0011941790580749512, ""median"": 0.00013494491577148438, ""p90"": 0.002460211515426634, ""min"": 3.2007694244384766e-05, ""max"": 0.007390379905700684, ""std"": 0.0021752962187327955}","{""count"": 10, ""mean"": 0.04033292001113296, ""median"": 0.020989825017750263, ""p90"": 0.08335341662168501, ""min"": 0.008042339235544205, ""max"": 0.12926211953163147, ""std"": 0.037525328534293134}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,5,11,"{""count"": 11, ""mean"": 0.0013130578127774324, ""median"": 0.0003642439842224121, ""p90"": 0.004388689994812012, ""min"": 7.396936416625977e-05, ""max"": 0.006662547588348389, ""std"": 0.002066744135124969}","{""count"": 11, ""mean"": 0.042816532267765564, ""median"": 0.034243665635585785, ""p90"": 0.10386363416910172, ""min"": 0.012423481792211533, ""max"": 0.11649712920188904, ""std"": 0.03417612557692084}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,6,12,"{""count"": 12, ""mean"": 0.021521851420402527, ""median"": 0.0003402531147003174, ""p90"": 0.017984724044799814, ""min"": 9.000301361083984e-05, ""max"": 0.23367643356323242, ""std"": 0.06418890482495496}","{""count"": 12, ""mean"": 0.12688179383985698, ""median"": 0.03637422062456608, ""p90"": 0.3700368054211141, ""min"": 0.013451681472361088, ""max"": 0.704889178276062, ""std"": 0.20141630411176029}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,7,13,"{""count"": 13, ""mean"": 0.009776303401360145, ""median"": 0.00043529272079467773, ""p90"": 0.003939056396484378, ""min"": 5.0902366638183594e-05, ""max"": 0.11787444353103638, ""std"": 0.03122702785116191}","{""count"": 13, ""mean"": 0.09511902985664514, ""median"": 0.03828147053718567, ""p90"": 0.18264195322990423, ""min"": 0.010094057768583298, ""max"": 0.6139988899230957, ""std"": 0.15780274969548852}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,8,14,"{""count"": 14, ""mean"": 0.000890676464353289, ""median"": 0.0004272758960723877, ""p90"": 0.0022721767425537102, ""min"": 4.851818084716797e-05, ""max"": 0.004616856575012207, ""std"": 0.0012309675133260801}","{""count"": 14, ""mean"": 0.04371765575238636, ""median"": 0.0360520351678133, ""p90"": 0.07725888676941392, ""min"": 0.010752344503998756, ""max"": 0.12644442915916443, ""std"": 0.030330300040211342}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,9,15,"{""count"": 15, ""mean"": 0.015450561046600341, ""median"": 0.00021034479141235352, ""p90"": 0.0019069433212280265, ""min"": 4.780292510986328e-05, ""max"": 0.225996196269989, ""std"": 0.05627463875323881}","{""count"": 15, ""mean"": 0.11495947111397982, ""median"": 0.04819070175290108, ""p90"": 0.09477466940879822, ""min"": 0.009798414073884487, ""max"": 1.073022484779358, ""std"": 0.2574135654275755}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,10,16,"{""count"": 16, ""mean"": 0.0038502924144268036, ""median"": 0.0004417896270751953, ""p90"": 0.013502448797225952, ""min"": 6.985664367675781e-05, ""max"": 0.029843568801879883, ""std"": 0.009068704810464399}","{""count"": 16, ""mean"": 0.07886285235872492, ""median"": 0.03284814953804016, ""p90"": 0.2037212923169136, ""min"": 0.015022083185613155, ""max"": 0.3197530210018158, ""std"": 0.08850942389409519}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,11,13,"{""count"": 13, ""mean"": 0.0015046321428739107, ""median"": 0.00023615360260009766, ""p90"": 0.005322813987731938, ""min"": 4.404783248901367e-05, ""max"": 0.010609924793243408, ""std"": 0.003118137145104905}","{""count"": 13, ""mean"": 0.05761966725381521, ""median"": 0.035718921571969986, ""p90"": 0.13903974443674091, ""min"": 0.017545092850923538, ""max"": 0.18580420315265656, ""std"": 0.05140213223560108}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,12,13,"{""count"": 13, ""mean"": 0.0002511739730834961, ""median"": 0.00013583898544311523, ""p90"": 0.0005407929420471194, ""min"": 4.2438507080078125e-05, ""max"": 0.0010101795196533203, ""std"": 0.000269053056752574}","{""count"": 13, ""mean"": 0.028256543840353306, ""median"": 0.020953379571437836, ""p90"": 0.0549355834722519, ""min"": 0.010171194560825825, ""max"": 0.06025625392794609, ""std"": 0.015855971305832606}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,13,13,"{""count"": 13, ""mean"": 0.00045129886040320765, ""median"": 0.00018477439880371094, ""p90"": 0.001022922992706299, ""min"": 3.355741500854492e-05, ""max"": 0.002304673194885254, ""std"": 0.000620165234180519}","{""count"": 13, ""mean"": 0.03612121789214703, ""median"": 0.02235710434615612, ""p90"": 0.07577746957540515, ""min"": 0.01022491417825222, ""max"": 0.1006912887096405, ""std"": 0.027802222500671665}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,14,13,"{""count"": 13, ""mean"": 0.0002608390954824594, ""median"": 0.0001195669174194336, ""p90"": 0.0007083415985107423, ""min"": 2.7477741241455078e-05, ""max"": 0.000854790210723877, ""std"": 0.0002770613376268045}","{""count"": 13, ""mean"": 0.030637385252003487, ""median"": 0.022715793922543526, ""p90"": 0.06264602020382883, ""min"": 0.0077835386618971825, ""max"": 0.07932457327842712, ""std"": 0.02036390049708106}"
pair_000001,final,model_ready_visual,"[29, 13]",tile_mask_center_sample_to_merged_visual_token_grid,15,13,"{""count"": 13, ""mean"": 0.00010940203299889198, ""median"": 9.751319885253906e-05, ""p90"": 0.00019991397857666018, ""min"": 2.682209014892578e-05, ""max"": 0.00024074316024780273, ""std"": 6.608630236273281e-05}","{""count"": 13, ""mean"": 0.016851181737505473, ""median"": 0.015671608969569206, ""p90"": 0.027058432623744015, ""min"": 0.007318385876715183, ""max"": 0.0325898751616478, ""std"": 0.007058741644482425}"
