dimension,value,feature_boundary,layer_id,threshold,feature_metric,pair_count,pixel_changed_ratio,feature_changed_ratio,correlation
app,unknown,model_ready_visual,final,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.15473332701780979, ""median"": 0.1259946949602122, ""p90"": 0.3156498673740053, ""min"": 0.005305039787798408, ""max"": 0.6153846153846154, ""std"": 0.11772344069039435}",0.6935624648302118
app,unknown,model_ready_visual,final,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.11707349916093758, ""median"": 0.08488063660477455, ""p90"": 0.23952254641909806, ""min"": 0.005305039787798408, ""max"": 0.48010610079575594, ""std"": 0.09583011947524316}",0.689279381857769
app,unknown,model_ready_visual,final,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.07643472906403942, ""median"": 0.04907161803713528, ""p90"": 0.16710875331564987, ""min"": 0.0, ""max"": 0.3156498673740053, ""std"": 0.06833036897568816}",0.6967732830408411
app,unknown,model_ready_visual,final,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.06021551724137931, ""median"": 0.04111405835543766, ""p90"": 0.1384615384615384, ""min"": 0.0, ""max"": 0.2625994694960212, ""std"": 0.05787470539552405}",0.692311281401136
app,unknown,model_ready_visual,final,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.03755981703026038, ""median"": 0.021220159151193633, ""p90"": 0.10159151193633947, ""min"": 0.0, ""max"": 0.1909814323607427, ""std"": 0.04400526267808159}",0.6802459076517475
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04774535809018567, ""median"": 0.04774535809018567, ""p90"": 0.04774535809018567, ""min"": 0.04774535809018567, ""max"": 0.04774535809018567, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.1724137931034483, ""median"": 0.1724137931034483, ""p90"": 0.1724137931034483, ""min"": 0.1724137931034483, ""max"": 0.1724137931034483, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.1273209549071618, ""median"": 0.1273209549071618, ""p90"": 0.1273209549071618, ""min"": 0.1273209549071618, ""max"": 0.1273209549071618, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.08222811671087533, ""median"": 0.08222811671087533, ""p90"": 0.08222811671087533, ""min"": 0.08222811671087533, ""max"": 0.08222811671087533, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0636604774535809, ""median"": 0.0636604774535809, ""p90"": 0.0636604774535809, ""min"": 0.0636604774535809, ""max"": 0.0636604774535809, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.034482758620689655, ""median"": 0.034482758620689655, ""p90"": 0.034482758620689655, ""min"": 0.034482758620689655, ""max"": 0.034482758620689655, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.058355437665782495, ""median"": 0.058355437665782495, ""p90"": 0.058355437665782495, ""min"": 0.058355437665782495, ""max"": 0.058355437665782495, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03978779840848806, ""median"": 0.03978779840848806, ""p90"": 0.03978779840848806, ""min"": 0.03978779840848806, ""max"": 0.03978779840848806, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.01856763925729443, ""median"": 0.01856763925729443, ""p90"": 0.01856763925729443, ""min"": 0.01856763925729443, ""max"": 0.01856763925729443, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
