pair_id,layer_id,feature_boundary,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,feature_source,feature_token_count,visual_token_count,visual_token_grid,processor_merge_size,alignment_method,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000001,final,model_ready_visual,60,4,,near,0.0078125,cosine_distance,0.005,0.04774535809018567,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9921875,0.005092337727546692,0.0034221477866492388,
pair_000002,final,model_ready_visual,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.2625994694960212,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.859375,0.11793761197910753,0.009374449531475227,
pair_000003,final,model_ready_visual,341,3,,patch_candidate,0.140625,cosine_distance,0.005,0.29973474801061006,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.859375,0.10831354146308088,0.01032209974346739,
pair_000004,final,model_ready_visual,542,3,,patch_candidate,0.0625,cosine_distance,0.005,0.07957559681697612,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.03689653532845633,0.002228720823468315,
pair_000005,final,model_ready_visual,622,3,,patch_candidate,0.0546875,cosine_distance,0.005,0.09283819628647215,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.06770686705907186,0.004271123455374281,
pair_000006,final,model_ready_visual,622,7,,patch_candidate,0.109375,cosine_distance,0.005,0.1273209549071618,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.890625,0.04948448186570948,0.005830512390480385,
pair_000007,final,model_ready_visual,622,10,,patch_candidate,0.09375,cosine_distance,0.005,0.20689655172413793,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.90625,0.06121060848236084,0.015013117464784344,
pair_000008,final,model_ready_visual,883,5,,patch_candidate,0.1171875,cosine_distance,0.005,0.21485411140583555,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8828125,0.10579527522388257,0.006601208606652454,
pair_000009,final,model_ready_visual,1003,3,,patch_candidate,0.078125,cosine_distance,0.005,0.10610079575596817,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.921875,0.05308461934328079,0.003888363250787707,
pair_000010,final,model_ready_visual,1144,7,,near,0.0234375,cosine_distance,0.005,0.058355437665782495,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.014167726039886475,0.0017933917372194054,
pair_000011,final,model_ready_visual,1164,8,,near,0.0078125,cosine_distance,0.005,0.021220159151193633,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9921875,0.02296888828277588,0.001048883867647309,
pair_000012,final,model_ready_visual,1164,9,,near,0.03125,cosine_distance,0.005,0.08753315649867374,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.02548562486966451,0.0026515836585057923,
pair_000013,final,model_ready_visual,1324,6,,near,0.0390625,cosine_distance,0.005,0.09018567639257294,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9609375,0.054963263181539684,0.0032338807871053507,
pair_000014,final,model_ready_visual,1404,7,,near,0.015625,cosine_distance,0.005,0.08753315649867374,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.09040334820747375,0.002620337156444069,
pair_000015,final,model_ready_visual,1444,6,,near,0.046875,cosine_distance,0.005,0.20424403183023873,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.953125,0.07242645819981892,0.012577744281810263,
pair_000016,final,model_ready_visual,1564,0,,patch_candidate,0.078125,cosine_distance,0.005,0.07427055702917772,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.921875,0.052945484285769256,0.001905261965121253,
pair_000017,final,model_ready_visual,1904,3,,near,0.015625,cosine_distance,0.005,0.11405835543766578,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.034383900463581085,0.004173004691839864,
pair_000018,final,model_ready_visual,1924,2,,near,0.0390625,cosine_distance,0.005,0.058355437665782495,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9609375,0.03396735919846429,0.0005897713570873717,
pair_000019,final,model_ready_visual,2224,3,,patch_candidate,0.0625,cosine_distance,0.005,0.11405835543766578,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.056488204002380374,0.0030106727589559817,
pair_000020,final,model_ready_visual,2224,4,,near,0.046875,cosine_distance,0.005,0.11140583554376658,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.953125,0.07383919304067438,0.0024851107857917828,
pair_000021,final,model_ready_visual,2224,5,,near,0.0390625,cosine_distance,0.005,0.03978779840848806,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9609375,0.03572679649699818,0.000668034364616936,
pair_000022,final,model_ready_visual,2264,5,,patch_candidate,0.125,cosine_distance,0.005,0.5517241379310345,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.875,0.08928557841674141,0.03210764763218399,
pair_000023,final,model_ready_visual,2264,8,,patch_candidate,0.078125,cosine_distance,0.005,0.17771883289124668,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.921875,0.058078653537310086,0.010808387203433915,
pair_000024,final,model_ready_visual,2264,9,,patch_candidate,0.09375,cosine_distance,0.005,0.17506631299734748,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.90625,0.0401872843503952,0.010058245700824996,
pair_000025,final,model_ready_visual,2264,11,,patch_candidate,0.0625,cosine_distance,0.005,0.16710875331564987,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.07224470128615697,0.01018331003594331,
pair_000026,final,model_ready_visual,2264,13,,patch_candidate,0.0859375,cosine_distance,0.005,0.2413793103448276,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9140625,0.06408734707271352,0.01026814880593525,
