pair_id,layer_id,feature_boundary,feature_source,feature_token_count,visual_token_grid,processor_merge_size,alignment_method,threshold,feature_metric,feature_changed_ratio,pixel_changed_ratio,page_similarity,episode_id,step_id,app,task
pair_000001,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.005,cosine_distance,0.04774535809018567,0.0078125,0.9921875,60,4,, I want to view the recipe for Welsh Cakes in the kitchen stories app.
pair_000001,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.01,cosine_distance,0.03183023872679045,0.0078125,0.9921875,60,4,, I want to view the recipe for Welsh Cakes in the kitchen stories app.
pair_000001,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.03,cosine_distance,0.015915119363395226,0.0078125,0.9921875,60,4,, I want to view the recipe for Welsh Cakes in the kitchen stories app.
pair_000001,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.05,cosine_distance,0.013262599469496022,0.0078125,0.9921875,60,4,, I want to view the recipe for Welsh Cakes in the kitchen stories app.
pair_000001,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.1,cosine_distance,0.013262599469496022,0.0078125,0.9921875,60,4,, I want to view the recipe for Welsh Cakes in the kitchen stories app.
pair_000002,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.005,cosine_distance,0.2625994694960212,0.140625,0.859375,341,2,,I want to search for some interesting activities in Hawaii.
pair_000002,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.01,cosine_distance,0.20424403183023873,0.140625,0.859375,341,2,,I want to search for some interesting activities in Hawaii.
pair_000002,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.03,cosine_distance,0.15649867374005305,0.140625,0.859375,341,2,,I want to search for some interesting activities in Hawaii.
pair_000002,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.05,cosine_distance,0.13527851458885942,0.140625,0.859375,341,2,,I want to search for some interesting activities in Hawaii.
pair_000002,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.1,cosine_distance,0.10079575596816977,0.140625,0.859375,341,2,,I want to search for some interesting activities in Hawaii.
pair_000003,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.005,cosine_distance,0.29973474801061006,0.140625,0.859375,341,3,,I want to search for some interesting activities in Hawaii.
pair_000003,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.01,cosine_distance,0.23076923076923078,0.140625,0.859375,341,3,,I want to search for some interesting activities in Hawaii.
pair_000003,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.03,cosine_distance,0.16445623342175067,0.140625,0.859375,341,3,,I want to search for some interesting activities in Hawaii.
pair_000003,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.05,cosine_distance,0.14323607427055704,0.140625,0.859375,341,3,,I want to search for some interesting activities in Hawaii.
pair_000003,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.1,cosine_distance,0.10079575596816977,0.140625,0.859375,341,3,,I want to search for some interesting activities in Hawaii.
pair_000004,final,model_ready_visual,model.visual.merger,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.005,cosine_distance,0.07957559681697612,0.0625,0.9375,542,3,,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions
