pair_id,layer_id,token_manhattan_distance,token_count,cosine_distance,relative_l2_distance
pair_000001,final,0,7,"{""count"": 7, ""mean"": 0.0014713406562805176, ""median"": 0.00029087066650390625, ""p90"": 0.003932893276214602, ""min"": 2.086162567138672e-06, ""max"": 0.009111523628234863, ""std"": 0.003124185464557785}","{""count"": 7, ""mean"": 0.09197410302502769, ""median"": 0.036018650978803635, ""p90"": 0.22041429281234748, ""min"": 0.026366906240582466, ""max"": 0.33617889881134033, ""std"": 0.1068263037446403}"
pair_000001,final,1,15,"{""count"": 15, ""mean"": 8.37246576944987e-05, ""median"": 5.304813385009766e-06, ""p90"": 0.0002263784408569336, ""min"": 4.172325134277344e-07, ""max"": 0.0005000829696655273, ""std"": 0.00013480450092599668}","{""count"": 15, ""mean"": 0.11033005757878224, ""median"": 0.048191267997026443, ""p90"": 0.17131610214710236, ""min"": 0.006667572073638439, ""max"": 0.7883667945861816, ""std"": 0.18965235600493954}"
pair_000001,final,2,17,"{""count"": 17, ""mean"": 0.0003817607374752269, ""median"": 1.9848346710205078e-05, ""p90"": 0.0005540847778320315, ""min"": 2.384185791015625e-07, ""max"": 0.004795432090759277, ""std"": 0.001124109996989336}","{""count"": 17, ""mean"": 0.1171601073925986, ""median"": 0.060809455811977386, ""p90"": 0.18003179430961608, ""min"": 0.007220140658318996, ""max"": 0.8511980772018433, ""std"": 0.19146202774952914}"
pair_000001,final,3,19,"{""count"": 19, ""mean"": 8.86979855989155e-05, ""median"": 2.5510787963867188e-05, ""p90"": 0.0001616120338439941, ""min"": 8.940696716308594e-07, ""max"": 0.0008678436279296875, ""std"": 0.0001916403172577389}","{""count"": 19, ""mean"": 0.07849878540850784, ""median"": 0.04003395512700081, ""p90"": 0.25248373746871944, ""min"": 0.002247837372124195, ""max"": 0.3631270229816437, ""std"": 0.10281957985739747}"
pair_000001,final,4,21,"{""count"": 21, ""mean"": 0.0008380271139599028, ""median"": 2.4557113647460938e-05, ""p90"": 0.00028270483016967773, ""min"": 1.0728836059570312e-06, ""max"": 0.016042888164520264, ""std"": 0.0034023511735617852}","{""count"": 21, ""mean"": 0.09881091792513394, ""median"": 0.04931139573454857, ""p90"": 0.18842928111553192, ""min"": 0.0016805968480184674, ""max"": 0.6930004954338074, ""std"": 0.14530223911236106}"
pair_000001,final,5,23,"{""count"": 23, ""mean"": 8.46671021502951e-05, ""median"": 3.135204315185547e-05, ""p90"": 0.00015975236892700194, ""min"": 2.980232238769531e-07, ""max"": 0.0007575154304504395, ""std"": 0.00015878409642057736}","{""count"": 23, ""mean"": 0.09148893392968761, ""median"": 0.04490985348820686, ""p90"": 0.30070494115352636, ""min"": 0.002373875817283988, ""max"": 0.3762274980545044, ""std"": 0.11361898216063938}"
pair_000001,final,6,18,"{""count"": 18, ""mean"": 0.0011466277970208062, ""median"": 2.8192996978759766e-05, ""p90"": 0.00048218369483947775, ""min"": 5.364418029785156e-07, ""max"": 0.018417418003082275, ""std"": 0.004192899020741469}","{""count"": 18, ""mean"": 0.101931794527142, ""median"": 0.06439472362399101, ""p90"": 0.12236068248748785, ""min"": 0.0011887901928275824, ""max"": 0.8357865214347839, ""std"": 0.18347344979484903}"
pair_000001,final,7,19,"{""count"": 19, ""mean"": 0.001659393310546875, ""median"": 1.704692840576172e-05, ""p90"": 0.003130471706390372, ""min"": 7.152557373046875e-07, ""max"": 0.017279982566833496, ""std"": 0.004701453394872867}","{""count"": 19, ""mean"": 0.32319441565165397, ""median"": 0.031441885977983475, ""p90"": 0.599472153186798, ""min"": 0.004441897384822369, ""max"": 4.146664619445801, ""std"": 0.9211114657186595}"
pair_000001,final,8,20,"{""count"": 20, ""mean"": 0.004898402094841004, ""median"": 7.12275505065918e-06, ""p90"": 0.00022987127304077216, ""min"": 6.556510925292969e-07, ""max"": 0.09682285785675049, ""std"": 0.021089427477900373}","{""count"": 20, ""mean"": 0.10428399767260998, ""median"": 0.030578882433474064, ""p90"": 0.19488844126462934, ""min"": 0.004675510339438915, ""max"": 0.9745655059814453, ""std"": 0.2085018549333493}"
pair_000001,final,9,21,"{""count"": 21, ""mean"": 0.0033227971621922086, ""median"": 3.993511199951172e-06, ""p90"": 0.001993417739868164, ""min"": 5.364418029785156e-07, ""max"": 0.060019731521606445, ""std"": 0.01275161504526262}","{""count"": 21, ""mean"": 0.6570172466426378, ""median"": 0.04464011266827583, ""p90"": 0.16567687690258026, ""min"": 0.005095427390187979, ""max"": 12.273971557617188, ""std"": 2.600007217573966}"
pair_000001,final,10,22,"{""count"": 22, ""mean"": 0.0007233430038798939, ""median"": 2.1189451217651367e-05, ""p90"": 0.0010118067264556882, ""min"": 1.1324882507324219e-06, ""max"": 0.011563360691070557, ""std"": 0.002402058350519858}","{""count"": 22, ""mean"": 0.2591236698314209, ""median"": 0.05796700343489647, ""p90"": 0.27160199582576733, ""min"": 0.005354032386094332, ""max"": 3.799297332763672, ""std"": 0.7779110760917589}"
pair_000001,final,11,23,"{""count"": 23, ""mean"": 0.0009569085162618886, ""median"": 7.510185241699219e-06, ""p90"": 5.0389766693115247e-05, ""min"": 7.152557373046875e-07, ""max"": 0.0210915207862854, ""std"": 0.004294764613304445}","{""count"": 23, ""mean"": 0.0838909411964857, ""median"": 0.020958129316568375, ""p90"": 0.11336902379989626, ""min"": 0.004790343809872866, ""max"": 0.9047735929489136, ""std"": 0.19271314055694302}"
pair_000001,final,12,24,"{""count"": 24, ""mean"": 0.00011363873879114787, ""median"": 4.6193599700927734e-06, ""p90"": 0.0003360331058502196, ""min"": 4.76837158203125e-07, ""max"": 0.001309037208557129, ""std"": 0.0002876663977461202}","{""count"": 24, ""mean"": 0.06562911899527535, ""median"": 0.03220710530877113, ""p90"": 0.13803709149360655, ""min"": 0.0013035619631409645, ""max"": 0.3359176218509674, ""std"": 0.08198210814380687}"
pair_000001,final,13,25,"{""count"": 25, ""mean"": 0.003720259666442871, ""median"": 3.3974647521972656e-06, ""p90"": 0.0023802399635314987, ""min"": 1.1920928955078125e-07, ""max"": 0.05869394540786743, ""std"": 0.012655371356611553}","{""count"": 25, ""mean"": 0.47964347413741054, ""median"": 0.03512895852327347, ""p90"": 0.5777705311775216, ""min"": 0.0006354441284202039, ""max"": 7.743929862976074, ""std"": 1.571912695590964}"
pair_000001,final,14,26,"{""count"": 26, ""mean"": 0.0004741526567018949, ""median"": 6.467103958129883e-06, ""p90"": 0.0007621049880981445, ""min"": 2.384185791015625e-07, ""max"": 0.008627712726593018, ""std"": 0.0016628742547695006}","{""count"": 26, ""mean"": 0.09163418337434101, ""median"": 0.03401116281747818, ""p90"": 0.1850784420967102, ""min"": 0.0011404332472011447, ""max"": 0.9550998210906982, ""std"": 0.1883843095154605}"
pair_000001,final,15,27,"{""count"": 27, ""mean"": 2.633863025241428e-05, ""median"": 3.039836883544922e-06, ""p90"": 5.863904953002923e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.0003319978713989258, ""std"": 6.435367532857258e-05}","{""count"": 27, ""mean"": 0.048536438632894446, ""median"": 0.022457633167505264, ""p90"": 0.11153182834386821, ""min"": 0.0014715003781020641, ""max"": 0.26419758796691895, ""std"": 0.060851059077931285}"
pair_000001,final,16,28,"{""count"": 28, ""mean"": 9.125896862574986e-06, ""median"": 3.6656856536865234e-06, ""p90"": 2.240538597106935e-05, ""min"": 3.5762786865234375e-07, ""max"": 7.37309455871582e-05, ""std"": 1.571328554580467e-05}","{""count"": 28, ""mean"": 0.04484907792773031, ""median"": 0.02531110867857933, ""p90"": 0.08183395713567734, ""min"": 0.0007220098632387817, ""max"": 0.2750314176082611, ""std"": 0.0615732303502583}"
pair_000001,final,17,29,"{""count"": 29, ""mean"": 0.0007668281423634496, ""median"": 1.3470649719238281e-05, ""p90"": 0.0007282733917236325, ""min"": 6.556510925292969e-07, ""max"": 0.01669710874557495, ""std"": 0.00304671719214139}","{""count"": 29, ""mean"": 0.10527074494367016, ""median"": 0.032074879854917526, ""p90"": 0.21114675998687743, ""min"": 0.005090293008834124, ""max"": 0.9396238327026367, ""std"": 0.17690830617515385}"
pair_000001,final,18,30,"{""count"": 30, ""mean"": 0.00018280943234761556, ""median"": 1.5854835510253906e-05, ""p90"": 0.0003041565418243413, ""min"": 5.364418029785156e-07, ""max"": 0.002018451690673828, ""std"": 0.00043484595277465925}","{""count"": 30, ""mean"": 0.08619155344786122, ""median"": 0.03014177270233631, ""p90"": 0.1583031430840494, ""min"": 0.0009765517897903919, ""max"": 0.7836723327636719, ""std"": 0.14968269870555362}"
pair_000001,final,19,31,"{""count"": 31, ""mean"": 0.0020107626914978027, ""median"": 1.6033649444580078e-05, ""p90"": 0.00027871131896972656, ""min"": 4.76837158203125e-07, ""max"": 0.06009566783905029, ""std"": 0.010605854468835116}","{""count"": 31, ""mean"": 0.45053415792813944, ""median"": 0.030472401529550552, ""p90"": 0.2468423843383789, ""min"": 0.0010915345046669245, ""max"": 11.568062782287598, ""std"": 2.033600270679022}"
pair_000001,final,20,32,"{""count"": 32, ""mean"": 0.00025482289493083954, ""median"": 2.9802322387695312e-06, ""p90"": 5.86569309234619e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.0072165727615356445, ""std"": 0.0012528718555786576}","{""count"": 32, ""mean"": 0.25308475223573623, ""median"": 0.025960633531212807, ""p90"": 0.11290074214339255, ""min"": 0.001326572964899242, ""max"": 6.599784851074219, ""std"": 1.1413352968236192}"
pair_000001,final,21,26,"{""count"": 26, ""mean"": 4.154672989478478e-05, ""median"": 1.093745231628418e-05, ""p90"": 0.0001023709774017334, ""min"": 5.960464477539063e-08, ""max"": 0.000268399715423584, ""std"": 6.000226725054871e-05}","{""count"": 26, ""mean"": 0.08028158155055, ""median"": 0.037009088322520256, ""p90"": 0.2101723775267601, ""min"": 0.0033959392458200455, ""max"": 0.45036008954048157, ""std"": 0.10916358348398299}"
pair_000001,final,22,26,"{""count"": 26, ""mean"": 2.1755695343017578e-05, ""median"": 6.139278411865234e-06, ""p90"": 5.373358726501465e-05, ""min"": 2.384185791015625e-07, ""max"": 0.00021266937255859375, ""std"": 4.236739652561756e-05}","{""count"": 26, ""mean"": 0.054257638416647054, ""median"": 0.038472773507237434, ""p90"": 0.1281655952334404, ""min"": 0.001076525659300387, ""max"": 0.22857452929019928, ""std"": 0.05677450273098976}"
pair_000001,final,23,26,"{""count"": 26, ""mean"": 0.0008802459790156438, ""median"": 4.291534423828125e-06, ""p90"": 4.032254219055176e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.0220220685005188, ""std"": 0.004230279105898159}","{""count"": 26, ""mean"": 0.5288026781927329, ""median"": 0.019171196967363358, ""p90"": 0.19627726078033447, ""min"": 0.0007767114439047873, ""max"": 12.696767807006836, ""std"": 2.4344205559840364}"
pair_000001,final,24,26,"{""count"": 26, ""mean"": 0.0010966245944683368, ""median"": 3.248453140258789e-06, ""p90"": 0.00012356042861938477, ""min"": 3.5762786865234375e-07, ""max"": 0.027493715286254883, ""std"": 0.005280740106394568}","{""count"": 26, ""mean"": 0.09288036984463151, ""median"": 0.02864939719438553, ""p90"": 0.18936625868082047, ""min"": 0.00527419475838542, ""max"": 0.8382917642593384, ""std"": 0.16952925867051946}"
pair_000001,final,25,26,"{""count"": 26, ""mean"": 2.308762990511381e-05, ""median"": 2.294778823852539e-06, ""p90"": 6.252527236938477e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.00017791986465454102, ""std"": 4.475668938864213e-05}","{""count"": 26, ""mean"": 0.07101129765102926, ""median"": 0.02575536072254181, ""p90"": 0.11137864366173744, ""min"": 0.0011086416197940707, ""max"": 0.8030490875244141, ""std"": 0.15378583649754896}"
pair_000001,final,26,26,"{""count"": 26, ""mean"": 2.7936238508958082e-05, ""median"": 4.5299530029296875e-06, ""p90"": 5.8531761169433594e-05, ""min"": 0.0, ""max"": 0.0003292560577392578, ""std"": 6.376622810501725e-05}","{""count"": 26, ""mean"": 0.06466907531676742, ""median"": 0.03156964108347893, ""p90"": 0.12229716405272484, ""min"": 0.0008029891760088503, ""max"": 0.5298861265182495, ""std"": 0.10684155792017001}"
pair_000001,final,27,26,"{""count"": 26, ""mean"": 0.001303406862112192, ""median"": 2.294778823852539e-06, ""p90"": 5.683302879333496e-05, ""min"": 2.980232238769531e-07, ""max"": 0.024921834468841553, ""std"": 0.005014516993922248}","{""count"": 26, ""mean"": 0.044572839428348325, ""median"": 0.013283079490065575, ""p90"": 0.14317674189805984, ""min"": 0.0008139995625242591, ""max"": 0.2218906581401825, ""std"": 0.06044192139378837}"
pair_000001,final,28,26,"{""count"": 26, ""mean"": 0.0010022475169255184, ""median"": 1.2218952178955078e-06, ""p90"": 4.13358211517334e-05, ""min"": 2.384185791015625e-07, ""max"": 0.025694310665130615, ""std"": 0.004938532907675552}","{""count"": 26, ""mean"": 0.08628319713618392, ""median"": 0.018219178542494774, ""p90"": 0.18888698518276215, ""min"": 0.000830285542178899, ""max"": 1.0307464599609375, ""std"": 0.21320711893659097}"
pair_000001,final,29,26,"{""count"": 26, ""mean"": 0.00026010779234079213, ""median"": 1.2516975402832031e-06, ""p90"": 7.638335227966309e-05, ""min"": 1.1920928955078125e-07, ""max"": 0.0044476985931396484, ""std"": 0.0009227073130067504}","{""count"": 26, ""mean"": 0.178655240525796, ""median"": 0.018554354086518288, ""p90"": 0.13934819772839546, ""min"": 0.0007439080509357154, ""max"": 3.5988197326660156, ""std"": 0.6863897384349489}"
pair_000001,final,30,26,"{""count"": 26, ""mean"": 1.0465200130756084e-05, ""median"": 3.7848949432373047e-06, ""p90"": 2.5838613510131836e-05, ""min"": 2.384185791015625e-07, ""max"": 4.2498111724853516e-05, ""std"": 1.2222353230617413e-05}","{""count"": 26, ""mean"": 0.03407411162445966, ""median"": 0.013780595269054174, ""p90"": 0.0957006998360157, ""min"": 0.0008031415054574609, ""max"": 0.1765737235546112, ""std"": 0.048359977499535016}"
pair_000001,final,31,26,"{""count"": 26, ""mean"": 1.95617859180157e-05, ""median"": 6.109476089477539e-06, ""p90"": 3.7670135498046875e-05, ""min"": 2.384185791015625e-07, ""max"": 0.00021582841873168945, ""std"": 4.2027793889578015e-05}","{""count"": 26, ""mean"": 0.04249081496247807, ""median"": 0.034207397140562534, ""p90"": 0.10134648159146309, ""min"": 0.0009567067609168589, ""max"": 0.15566888451576233, ""std"": 0.041892272038671304}"
pair_000001,final,32,26,"{""count"": 26, ""mean"": 1.8358230590820312e-05, ""median"": 2.562999725341797e-06, ""p90"": 4.6312808990478516e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.00018084049224853516, ""std"": 3.6744730499637843e-05}","{""count"": 26, ""mean"": 0.03278465588048745, ""median"": 0.017505374737083912, ""p90"": 0.07908039167523384, ""min"": 0.0006369351758621633, ""max"": 0.2008095681667328, ""std"": 0.042743790414213716}"
pair_000001,final,33,26,"{""count"": 26, ""mean"": 2.564375217144306e-05, ""median"": 8.225440979003906e-06, ""p90"": 7.548928260803223e-05, ""min"": 5.960464477539063e-08, ""max"": 0.00025153160095214844, ""std"": 5.099425242542478e-05}","{""count"": 26, ""mean"": 0.04074898960803134, ""median"": 0.023530066944658756, ""p90"": 0.10003400221467018, ""min"": 0.0013435828732326627, ""max"": 0.1725214272737503, ""std"": 0.04469654941103175}"
pair_000001,final,34,26,"{""count"": 26, ""mean"": 2.1757987829355094e-05, ""median"": 2.562999725341797e-06, ""p90"": 6.389617919921875e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.0002053380012512207, ""std"": 4.273349746638647e-05}","{""count"": 26, ""mean"": 0.032375842350750014, ""median"": 0.013529188465327024, ""p90"": 0.06913131661713123, ""min"": 0.0005499233957380056, ""max"": 0.19540385901927948, ""std"": 0.043447686596989166}"
pair_000001,final,35,26,"{""count"": 26, ""mean"": 1.6579261192908653e-05, ""median"": 4.470348358154297e-06, ""p90"": 3.507733345031738e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.00017893314361572266, ""std"": 3.4780384524766136e-05}","{""count"": 26, ""mean"": 0.04587474149033929, ""median"": 0.02193318959325552, ""p90"": 0.08009278029203415, ""min"": 0.0008925978909246624, ""max"": 0.4448189437389374, ""std"": 0.08403660541114148}"
pair_000001,final,36,26,"{""count"": 26, ""mean"": 1.6535703952495867e-05, ""median"": 1.9669532775878906e-06, ""p90"": 4.8726797103881836e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.00015223026275634766, ""std"": 3.31405625388365e-05}","{""count"": 26, ""mean"": 0.026606060148109324, ""median"": 0.009992847684770823, ""p90"": 0.06691981852054596, ""min"": 0.0008222262258641422, ""max"": 0.157688170671463, ""std"": 0.037498619175186515}"
pair_000001,final,37,26,"{""count"": 26, ""mean"": 1.2248754501342773e-05, ""median"": 1.9669532775878906e-06, ""p90"": 1.52587890625e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.0002009272575378418, ""std"": 3.812882635555031e-05}","{""count"": 26, ""mean"": 0.026534796976753008, ""median"": 0.016267691738903522, ""p90"": 0.07304103299975395, ""min"": 0.0008845191332511604, ""max"": 0.09271413832902908, ""std"": 0.02721977023072741}"
