dimension,value,kv_scope,kv_kind,layer_id,threshold,kv_metric,row_count,pixel_changed_ratio,kv_changed_ratio,correlation
app,unknown,text_tokens,key,1,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,1,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,1,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,1,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,1,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,10,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0027601422606471485, ""median"": 0.002297621875577375, ""p90"": 0.005724530367174797, ""min"": 0.0, ""max"": 0.009324009324009324, ""std"": 0.002099981923933374}",0.4986644120124075
app,unknown,text_tokens,key,10,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0016286823938820641, ""median"": 0.0011723329425556857, ""p90"": 0.003503051526997547, ""min"": 0.0, ""max"": 0.00591016548463357, ""std"": 0.001498167526206697}",0.463401378673551
app,unknown,text_tokens,key,10,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.000636430731641, ""median"": 0.0, ""p90"": 0.001178413866644364, ""min"": 0.0, ""max"": 0.004662004662004662, ""std"": 0.0009098423320361463}",0.26642677246022095
app,unknown,text_tokens,key,10,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.00038253598085265613, ""median"": 0.0, ""p90"": 0.001175088131609871, ""min"": 0.0, ""max"": 0.002380952380952381, ""std"": 0.0006168080866760039}",0.18572963535289883
app,unknown,text_tokens,key,10,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.00011557781487272889, ""median"": 0.0, ""p90"": 0.00011210762331837928, ""min"": 0.0, ""max"": 0.0011876484560570072, ""std"": 0.00034681848301607217}",0.15589882132324737
app,unknown,text_tokens,key,11,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.004848990823425687, ""median"": 0.004719778796915854, ""p90"": 0.00926033217458478, ""min"": 0.0, ""max"": 0.011764705882352941, ""std"": 0.003031480973590194}",0.33080609160003893
app,unknown,text_tokens,key,11,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.002780067468273369, ""median"": 0.002324249717065476, ""p90"": 0.0059129731641987164, ""min"": 0.0, ""max"": 0.01048951048951049, ""std"": 0.0023341579635881844}",0.369133296542249
app,unknown,text_tokens,key,11,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.001075685527106647, ""median"": 0.001128040556016471, ""p90"": 0.002350176263219742, ""min"": 0.0, ""max"": 0.004728132387706856, ""std"": 0.0012233705836418333}",0.32527722573119916
app,unknown,text_tokens,key,11,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0006473215380977704, ""median"": 0.0, ""p90"": 0.0011876484560570072, ""min"": 0.0, ""max"": 0.0035460992907801418, ""std"": 0.00089082008295049}",0.19012513398214279
app,unknown,text_tokens,key,11,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0002534973443438553, ""median"": 0.0, ""p90"": 0.0011500896950368746, ""min"": 0.0, ""max"": 0.0011876484560570072, ""std"": 0.00047741769939587455}",0.06536758473372827
app,unknown,text_tokens,key,12,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.005606854323190794, ""median"": 0.005157042476754015, ""p90"": 0.0114429582098081, ""min"": 0.0, ""max"": 0.01182033096926714, ""std"": 0.003675536599854114}",0.2744892835509956
app,unknown,text_tokens,key,12,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0033461538415536767, ""median"": 0.002355712603062426, ""p90"": 0.007039817747956732, ""min"": 0.0, ""max"": 0.011764705882352941, ""std"": 0.002690065876472458}",0.2885147518656302
