group,threshold_type,threshold,hit_count,total_pages,pages_with_prior_group,hit_rate,hit_rate_given_prior
overall,exact,sha256,16,4273,4272,0.003744441844137608,0.003745318352059925
overall,current_cache_config,configured,210,4273,4272,0.04914579920430611,0.04915730337078652
overall,dhash,<=0,225,4273,4272,0.05265621343318511,0.05266853932584269
overall,dhash,<=2,534,4273,4272,0.12497074654809268,0.125
overall,dhash,<=4,807,4273,4272,0.1888602855136906,0.18890449438202248
overall,dhash,<=8,1572,4273,4272,0.36789141118652,0.36797752808988765
overall,dhash,<=16,3676,4273,4272,0.8602855136906155,0.8604868913857678
overall,tile,>=0.9,292,4273,4272,0.06833606365551136,0.06835205992509363
overall,tile,>=0.95,153,4273,4272,0.035806225134565876,0.03581460674157303
overall,tile,>=0.98,63,4273,4272,0.014743739761291832,0.014747191011235955
overall,tile,>=0.99,41,4273,4272,0.009595132225602621,0.009597378277153557
same_episode,exact,sha256,15,4273,3490,0.0035104142288790077,0.004297994269340974
same_episode,current_cache_config,configured,173,4273,3490,0.04048677743973789,0.0495702005730659
same_episode,dhash,<=0,168,4273,3490,0.039316639363444886,0.048137535816618914
same_episode,dhash,<=2,356,4273,3490,0.08331383103206179,0.10200573065902578
same_episode,dhash,<=4,501,4273,3490,0.11724783524455885,0.14355300859598855
same_episode,dhash,<=8,801,4273,3490,0.187456119822139,0.22951289398280803
same_episode,dhash,<=16,1603,4273,3490,0.37514626725953665,0.45931232091690544
same_episode,tile,>=0.9,248,4273,3490,0.05803884858413293,0.07106017191977078
same_episode,tile,>=0.95,137,4273,3490,0.03206178329042827,0.03925501432664757
same_episode,tile,>=0.98,59,4273,3490,0.01380762930025743,0.0169054441260745
same_episode,tile,>=0.99,38,4273,3490,0.00889304937982682,0.010888252148997135
cross_episode,exact,sha256,1,4273,4270,0.0002340276152586005,0.000234192037470726
cross_episode,current_cache_config,configured,37,4273,4270,0.008659021764568219,0.008665105386416861
cross_episode,dhash,<=0,59,4273,4270,0.01380762930025743,0.013817330210772834
cross_episode,dhash,<=2,189,4273,4270,0.044231219283875495,0.04426229508196721
cross_episode,dhash,<=4,341,4273,4270,0.07980341680318277,0.07985948477751756
cross_episode,dhash,<=8,969,4273,4270,0.2267727591855839,0.2269320843091335
cross_episode,dhash,<=16,3499,4273,4270,0.8188626257898433,0.8194379391100702
cross_episode,tile,>=0.9,44,4273,4270,0.010297215071378422,0.010304449648711944
cross_episode,tile,>=0.95,16,4273,4270,0.003744441844137608,0.003747072599531616
cross_episode,tile,>=0.98,4,4273,4270,0.000936110461034402,0.000936768149882904
cross_episode,tile,>=0.99,3,4273,4270,0.0007020828457758015,0.000702576112412178
same_task,exact,sha256,15,4273,3490,0.0035104142288790077,0.004297994269340974
same_task,current_cache_config,configured,173,4273,3490,0.04048677743973789,0.0495702005730659
same_task,dhash,<=0,168,4273,3490,0.039316639363444886,0.048137535816618914
same_task,dhash,<=2,356,4273,3490,0.08331383103206179,0.10200573065902578
same_task,dhash,<=4,501,4273,3490,0.11724783524455885,0.14355300859598855
same_task,dhash,<=8,801,4273,3490,0.187456119822139,0.22951289398280803
same_task,dhash,<=16,1603,4273,3490,0.37514626725953665,0.45931232091690544
same_task,tile,>=0.9,248,4273,3490,0.05803884858413293,0.07106017191977078
same_task,tile,>=0.95,137,4273,3490,0.03206178329042827,0.03925501432664757
same_task,tile,>=0.98,59,4273,3490,0.01380762930025743,0.0169054441260745
same_task,tile,>=0.99,38,4273,3490,0.00889304937982682,0.010888252148997135
cross_task,exact,sha256,1,4273,4270,0.0002340276152586005,0.000234192037470726
cross_task,current_cache_config,configured,37,4273,4270,0.008659021764568219,0.008665105386416861
cross_task,dhash,<=0,59,4273,4270,0.01380762930025743,0.013817330210772834
cross_task,dhash,<=2,189,4273,4270,0.044231219283875495,0.04426229508196721
cross_task,dhash,<=4,341,4273,4270,0.07980341680318277,0.07985948477751756
cross_task,dhash,<=8,969,4273,4270,0.2267727591855839,0.2269320843091335
cross_task,dhash,<=16,3499,4273,4270,0.8188626257898433,0.8194379391100702
cross_task,tile,>=0.9,44,4273,4270,0.010297215071378422,0.010304449648711944
cross_task,tile,>=0.95,16,4273,4270,0.003744441844137608,0.003747072599531616
cross_task,tile,>=0.98,4,4273,4270,0.000936110461034402,0.000936768149882904
cross_task,tile,>=0.99,3,4273,4270,0.0007020828457758015,0.000702576112412178
