global_index,sampled_episode_position,source_record_index,episode_id,step_id,app,package,app_key,task_key,image_path,image_sha256,width,height,dhash64,tile_rows,tile_cols,has_history,history_comparisons,exact_sha256_match,min_dhash_hamming,max_tile_unchanged_ratio,nearest_global_index,nearest_episode_id,nearest_step_id,nearest_image_sha256,nearest_same_episode,nearest_same_task,nearest_same_app,current_cache_config_hit_type,current_cache_config_hit,dhash_le_0,dhash_le_2,dhash_le_4,dhash_le_8,dhash_le_16,tile_ge_0.9,tile_ge_0.95,tile_ge_0.98,tile_ge_0.99
1,1,0,0,0,,,,"Open the Zoho Meet app , view the scheduled meetings .",data/androidcontrol_mini/images/episode_0/step_0.png,f32c653b876e5890e8b0b2f4b3bd0ef363ebf7b694d09e2bc7450462ea26d22e,1080,2400,3039278e2239393b,8,16,False,0,False,,,,,,,,,,miss,False,False,False,False,False,False,False,False,False,False
2,1,1,0,1,,,,"Open the Zoho Meet app , view the scheduled meetings .",data/androidcontrol_mini/images/episode_0/step_1.png,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,1080,2400,300000000000000c,8,16,True,1,False,27,0.0,1,0,0,f32c653b876e5890e8b0b2f4b3bd0ef363ebf7b694d09e2bc7450462ea26d22e,True,True,,miss,False,False,False,False,False,False,False,False,False,False
3,1,2,0,2,,,,"Open the Zoho Meet app , view the scheduled meetings .",data/androidcontrol_mini/images/episode_0/step_2.png,9ce364c888cfebd3e946baa6a38409166c22981569c41788cf96c88dc036c49c,1080,2400,78690001710100dc,8,16,True,2,False,15,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,True,True,,miss,False,False,False,False,False,True,False,False,False,False
4,2,3,20,0,,,,Go to the mobile category after closing the pop up and browse the products,data/androidcontrol_mini/images/episode_20/step_0.png,1fe0e8f32d114d4e987dfe1ebb5d89c80799a51c6995a366c3b87fa5e8d927c6,1080,2400,0302268d8c149094,8,16,True,3,False,22,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,False,False,False,False,False
5,2,4,20,1,,,,Go to the mobile category after closing the pop up and browse the products,data/androidcontrol_mini/images/episode_20/step_1.png,edd213b28544e2d8764bc2167ba3957f63d469475c7af33c9c58c73407f20484,1080,2400,454a5e5e1b8b4240,8,16,True,4,False,31,0.0390625,4,20,0,1fe0e8f32d114d4e987dfe1ebb5d89c80799a51c6995a366c3b87fa5e8d927c6,True,True,,miss,False,False,False,False,False,False,False,False,False,False
6,2,5,20,2,,,,Go to the mobile category after closing the pop up and browse the products,data/androidcontrol_mini/images/episode_20/step_2.png,e89eb78a6783513a278062c7f709ea0e17236b151675fa026237204b79b0e365,1080,2400,038e8a9786830355,8,16,True,5,False,24,0.0,4,20,0,1fe0e8f32d114d4e987dfe1ebb5d89c80799a51c6995a366c3b87fa5e8d927c6,True,True,,miss,False,False,False,False,False,False,False,False,False,False
7,2,6,20,3,,,,Go to the mobile category after closing the pop up and browse the products,data/androidcontrol_mini/images/episode_20/step_3.png,42d649ce150115ecd79031231b19707982f9119c411a68bd104958610f970e5a,1080,2400,019655cccccc8811,8,16,True,6,False,21,0.0,4,20,0,1fe0e8f32d114d4e987dfe1ebb5d89c80799a51c6995a366c3b87fa5e8d927c6,True,True,,miss,False,False,False,False,False,False,False,False,False,False
8,3,7,40,0,,,,Check out all of the suggested products and compare pricing because I'm looking for a budget friendly sofa.,data/androidcontrol_mini/images/episode_40/step_0.png,68800b9b0484ef1fdbd4f981974a9c23210d25c72125ccbcdc72c61ae4768874,1080,2400,c3b8b9eaeee9c8cc,8,16,True,7,False,27,0.0,7,20,3,42d649ce150115ecd79031231b19707982f9119c411a68bd104958610f970e5a,False,False,,miss,False,False,False,False,False,False,False,False,False,False
9,4,8,60,0,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_0.png,82ceb05490c93893abd236ff2ccaa2cc3268950c462cd09ba1778918207afeac,1080,2400,a2a8a8b283a2828f,8,16,True,8,False,22,0.0,6,20,2,e89eb78a6783513a278062c7f709ea0e17236b151675fa026237204b79b0e365,False,False,,miss,False,False,False,False,False,False,False,False,False,False
10,4,9,60,1,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_1.png,d98571d5a1cac702df2760c400d16e9c0d159a9a09aff4fbca098712febf616b,1080,2400,607169696969404d,8,16,True,9,False,20,0.0,3,0,2,9ce364c888cfebd3e946baa6a38409166c22981569c41788cf96c88dc036c49c,False,False,,miss,False,False,False,False,False,False,False,False,False,False
11,4,10,60,2,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_2.png,cbcf6a34437099c30b005cf440d2a6d7a90fca16f9bd790daaf8dc120ee21cc9,1080,2400,7149696969c0004d,8,16,True,10,False,10,0.125,10,60,1,d98571d5a1cac702df2760c400d16e9c0d159a9a09aff4fbca098712febf616b,True,True,,miss,False,False,False,False,False,True,False,False,False,False
12,4,11,60,3,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_3.png,5dc1c7377ce59f1b25abe23399eccf5d297ff80382238c1a54d24be1a9278ef8,1080,2400,303060c0e86de0cc,8,16,True,11,False,17,0.078125,11,60,2,cbcf6a34437099c30b005cf440d2a6d7a90fca16f9bd790daaf8dc120ee21cc9,True,True,,miss,False,False,False,False,False,False,False,False,False,False
13,4,12,60,4,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_4.png,1d677710ae46e2e8cc05a4eeb716ed6756ac930be7b101bd0ab6bc4058a2bd88,1080,2400,303060c0e86de0cc,8,16,True,12,False,0,0.9921875,12,60,3,5dc1c7377ce59f1b25abe23399eccf5d297ff80382238c1a54d24be1a9278ef8,True,True,,near,True,True,True,True,True,True,True,True,True,True
14,4,13,60,5,,,, I want to view the recipe for Welsh Cakes in the kitchen stories app.,data/androidcontrol_mini/images/episode_60/step_5.png,2d2e3051de550e95e6447778b2c6131d58d5814a0bdff4bfd16a782c45b1d47f,1080,2400,3838000088ace4cc,8,16,True,13,False,12,0.65625,12,60,3,5dc1c7377ce59f1b25abe23399eccf5d297ff80382238c1a54d24be1a9278ef8,True,True,,miss,False,False,False,False,False,True,False,False,False,False
